Kastle Hall,KAS,38.036064,-84.504913,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0044
Kelley Hall,,38.03138,-84.504767,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0075
Kentucky Clinic,,38.033719,-84.508066,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0284
Kentucky Tobacco Research and Development Center,,38.025675,-84.507155,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0236
Kinkead Hall,KH,38.034968,-84.504808,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0057
Koinonia House,,38.036913,-84.500547,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0433
Lafferty Hall,L,38.037602,-84.503314,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0024
Lancaster Aquatic Center,LAC,38.028588,-84.504076,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0212
Law Building,LAW,38.036442,-84.507226,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0048
Learning Services,,38.035967,-84.507767,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0417
Legal Clinic,,38.036697,-84.508721,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0400
Lexington Theological Seminary,,38.037279,-84.508922,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+A004
Ligon House,,38.036111,-84.507656,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0442
Lucille C. Little Fine Arts Library,LCLI,38.037204,-84.502998,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0224
MacAdam Student Observatory,,38.033982,-84.503873,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0618
Main Building,MAIN,38.03891,-84.504899,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0032
Margaret I. King Library,KL,38.036813,-84.503536,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0039
Mathews Building,MAT,38.037537,-84.506857,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0047
Mathews Garden,,38.035826,-84.507523,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+P001
Mathews House,,38.035967,-84.507767,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0417
Max Kade House and Cultural Center,MKH,38.040942,-84.49901,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0345
Maxwell Place,,38.036142,-84.5031,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0040
McVey Hall,MCV,38.036476,-84.5052,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0045
Mechanical Engineering Building,RGAN,38.037622,-84.504875,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0503
Medical Behavioral Science Building,COMB,38.030127,-84.5053,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0086
